BREAL S/S MONTFORT;FRPAGW
BRESSUIRE -EUROPE;FRPF08
BREST -BELLEVUE;FRPF10
BRETEUIL -HIEBLES;FRPAKJ
BRETEUIL S/ITON;FRPA63
BRETTEVILLE S/ODON;FRPF12
BREUILLET -ST CHERON;FRPF13
BRIANCON;FRPBB3
BRIARE;FRPAUC
BRIE COMTE ROBERT;FRPA66
BRIONNE;FRPF15
BRIOUDE;FRPA69
BRUNOY;FRPAGH
BUCHY 2;FRPX86
BULLY LES MINES;FRPF19
BUSSY ST GEORGES;FRPM31
BUZANCAIS;FRPF20
CABOURG 2;FRPALY
CACHAN;FRPCG1
CALAIS -CHAROST;FRPF24
CALAIS -VIRVAL;FRPF26
CAMBO LES BAINS;FRPCGQ
CAMBRAI;FRPBB6
CANNES -MEYNADIER 2;FRPBB8
CANNES LA BOCCA;FRPBB4
CANY BARVILLE;FRPF30
CAPPELLE LA GRANDE;FRPA74
CARENTAN;FRPAUU
CASTRES;FRPA76
CAUDEBEC;FRPA77
CAVALAIRE;FRPA78
CAZERES;FRPA79
CAZOULS;FRPA80
CERANS FOULLETOURTE;FRPA81
CERET;FRPF34
CHALETTE S/LOING;FRPF38
CHAMONIX -LE BETTY;FRPF40
CHAMPAGNE S/SEINE;FRPAUD
CHANGE -53;FRPA85
CHANTILLY;FRPF45
CHARLEVAL;FRPA87
CHARNAY LES MACON;FRPA88
CHARTRES DE BRETAGNE;FRPF48
CHARTRETTES;FRPF49
CHASSIEU;FRPF50
CHATEAU GONTIER;FRPCF4
CHATEAU LANDON;FRPAG9
CHATEAU RENAULT;FRPBCE
CHATEAUBRIANT;FRPAKU
CHATEAURENARD;FRPA90
CHATEAUROUX -BEAULIE;FRPCEG
CHATENOY LE ROYAL;FRPF58
CHATILLON;FRPF59
CHATILLON S/CHALARO2;FRPAJC
CHAUFFAILLES;FRPW15
CHAULNES;FRPF62
CHEVIGNY -DIJON;FRPF67
CHILLY MAZARIN;FRPA93
CLAIX;FRPF69
CLAMART -DE GAULLE;FRPF70
CLERMONT FD -ALYRE;FRPF71
CLERMONT FD -JAUDE;FRPA94
CLUNY;FRPAWH
COLOMBES 2 -EUROPE;FRPBBS
COLOMIERS -ORMEAU;FRPF72
COLOMIERS -RAMASSIER;FRPAUP
COMINES -TANNERIE;FRPF74
COMMENTRY;FRPF75
CONCHES EN OUCH -MOU;FRPCF7
CONDOM;FRPCGR
CONDRIEU;FRPF79
CONFLANS STE HONORIN;FRPF80
CONNERRE;FRPCE1
CORBAS;FRPF81
CORMEILLES;FRPA96
CORPEAU;FRPF82
COSNE COURS S/L -LEC;FRPW83
COSNE COURS S/L -RN7;FRPF84
COSNE D'ALLIER;FRPF85
COUERON;FRPA97
COULAINES;FRPA98
COUPVRAY;FRPF89
COURBEVOIE;FRPF90
COURSEULLES;FRPA99
COUTANCES -PLANCHE;FRPBBZ
CREANCES;FRPF95
CREGY LES MEAUX;FRPF97
CREMIEU;FRPF98
CREON -SAUVETERRE;FRPB03
CREPY EN VALOIS;FRPG01
CREST;FRPB04
CREVECOEUR LE GRAND;FRPB05
CROISSY S/SEINE;FRPG06
CROUY;FRPYIQ
CRUSEILLES;FRPAFG
CUGNAUX;FRPYBW
CULOZ;FRPG07
CUSSET -CHARMEIL;FRPYIX
DAMVILLE;FRPBCA
DANGE ST ROMAIN;FRPBC6
DAVEZIEUX;FRPG11
DAX;FRPCFQ
DEAUVILLE;FRPCEX
DECHY;FRPG12
DECIZE;FRPG13
DEOLS;FRPAIV
DESERTINES;FRPG14
DESVRES -BOULOGNE;FRPG15
DEVILLE LES ROUEN;FRPCEW
DINAN -CHENE QUEVERT;FRPJ42
DINARD -ST ALEXANDRE;FRPG17
DISTRE;FRPCDD
DIVION;FRPBBJ
DIVONNE LES BAINS;FRPG20
DOL DE BRETAGNE;FRPYBC
DOMBASLE 2;FRPAVJ
DOMFRONT;FRPAG1
DORMANS -CHAVENAY;FRPG23
DOUAI -ARMES;FRPG25
DOUDEVILLE;FRPB12
DOUVAINE -THONON;FRPG26
DRANCY;FRPG27
DRAVEIL;FRPAWK
DUCEY -RN 176;FRPN23
DUCLAIR;FRPB13
DUNIERES;FRPB14
DUNKERQUE;FRPH80
ECUELLES;FRPG29
ELANCOURT;FRPG30
ELBEUF;FRPG31
ENNERY;FRPYAB
ENTRAIGUES;FRPB17
EPERLECQUES;FRPG33
EPINAY S/ORGE;FRPG35
EPOUVILLE;FRPG36
ERGUE GABERIC;FRPG37
ERNEE -LA HAINAUD;FRPBCF
ERQUINGHEM LYS;FRPAJP
ESQUIEZE SERE -LUZ;FRPW81
ESSARS;FRPG39
ESTAIRES;FRPG40
ETABLES S/MER;FRPG41
ETAPLES -BOULOGNE;FRPG42
ETIOLLES;FRPG43
ETREPAGNY 2;FRPAKC
EVRON;FRPAIA
FALAISE -CLEMENCEAU;FRPN43
FAVERGES;FRPG48
FAVEROLLES S/CHER;FRPG49
FECAMP -GANZEVILLE;FRPG50
FEIGNIES;FRPB26
FERNEY VOLTAIRE -VOL;FRPG51
FERRIERE LA GRANDE;FRPG53
FERRIERES D'AUNIS;FRPCEV
FERRIERES EN GATINAI;FRPG54
FEUQUIERES EN VIMEU;FRPG59
FIGEAC;FRPB27
FISMES;FRPG60
FLEURANCE;FRPG62
FLEURY LES AUBRAIS;FRPBCG
FLEURY S/ANDELLE;FRPG63
FLORAC;FRPB28
FLORANGE 2;FRPB29
FONTENAY AUX ROSES;FRPB30
FOUESNANT 2;FRPALZ
FOUGERES;FRPAHP
FRAIZE;FRPAN3
FRENEUSE;FRPBBV
FREVENT -FERRY;FRPB33
FROGES;FRPG72
FROUZINS;FRPB34
FRUGES -3 MOULINS;FRPG73
FUMAY;FRPAHE
GALLARDON;FRPADY
GANNAT;FRPAUB
GARDANNE;FRPG77
GARGENVILLE;FRPG78
GENAS;FRPG79
GERZAT;FRPG80
GEVEZE;FRPG81
GEX;FRPG82
GIEN;FRPAVP
GIMONT;FRPB35
GISORS BOULOIR;FRPA36
GODERVILLE;FRPB36
GOMETZ LA VILLE;FRPG84
